,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
30,Disagree,1,23.4,26.0,25.7,21.0,2.4,1,22.7,26.0,18.0,27.4,4.7
31,Disagree,2,15.8,15.0,18.2,13.5,2.4,1,13.8,15.0,9.1,18.5,4.7
32,Disagree,3,23.0,26.0,25.3,20.6,2.4,1,25.2,26.0,20.5,29.9,4.7
33,Disagree,4,29.0,29.0,31.3,26.6,2.4,1,29.3,29.0,24.6,34.0,4.7
34,Disagree,5,18.5,16.0,20.9,16.2,2.4,1,15.4,16.0,10.7,20.1,4.7
35,Neither agree nor disagree,1,57.6,60.0,59.9,55.2,2.4,1,57.0,60.0,52.3,61.7,4.7
36,Neither agree nor disagree,2,25.1,25.0,27.5,22.8,2.4,1,29.7,25.0,25.0,34.4,4.7
37,Neither agree nor disagree,3,60.7,71.0,63.1,58.4,2.4,1,61.3,71.0,56.6,66.0,4.7
38,Neither agree nor disagree,4,72.4,71.0,74.8,70.1,2.4,1,72.4,71.0,67.7,77.1,4.7
39,Neither agree nor disagree,5,43.3,45.0,45.6,40.9,2.4,1,44.4,45.0,39.7,49.1,4.7
40,Agree,1,57.9,60.0,60.2,55.5,2.4,1,55.8,60.0,51.1,60.5,4.7
41,Agree,2,18.7,24.0,21.1,16.4,2.4,1,20.9,24.0,16.2,25.6,4.7
42,Agree,3,119.8,118.0,122.2,117.4,2.4,1,121.1,118.0,116.4,125.8,4.7
43,Agree,4,77.6,75.0,79.9,75.2,2.4,1,84.2,75.0,79.5,88.9,4.7
44,Agree,5,16.5,17.0,18.9,14.2,2.4,1,15.4,17.0,10.7,20.2,4.7
45,Strongly agree,1,45.7,46.0,48.0,43.3,2.4,1,50.7,46.0,45.9,55.4,4.7
46,Strongly agree,2,20.3,18.0,22.6,17.9,2.4,1,23.2,18.0,18.5,27.9,4.7
47,Strongly agree,3,55.9,58.0,58.2,53.5,2.4,1,52.1,58.0,47.4,56.8,4.7
48,Strongly agree,4,26.4,31.0,28.8,24.1,2.4,1,22.5,31.0,17.8,27.2,4.7
49,Strongly agree,5,14.4,20.0,16.7,12.0,2.4,1,16.4,20.0,11.7,21.1,4.7
50,Strongly disagree,1,62.9,64.0,64.5,61.3,1.6,2,64.5,64.0,62.1,66.8,2.4
51,Strongly disagree,2,13.9,11.0,15.5,12.4,1.6,2,13.8,11.0,11.5,16.2,2.4
52,Strongly disagree,3,15.8,29.0,17.3,14.2,1.6,2,9.5,29.0,7.2,11.9,2.4
53,Strongly disagree,4,15.0,16.0,16.6,13.4,1.6,2,16.3,16.0,14.0,18.7,2.4
54,Strongly disagree,5,34.0,29.0,35.6,32.4,1.6,2,33.3,29.0,30.9,35.7,2.4
55,Disagree,1,25.0,26.0,26.6,23.5,1.6,2,23.4,26.0,21.0,25.7,2.4
56,Disagree,2,16.2,15.0,17.8,14.6,1.6,2,15.8,15.0,13.5,18.2,2.4
57,Disagree,3,25.6,26.0,27.2,24.0,1.6,2,23.0,26.0,20.6,25.3,2.4
58,Disagree,4,29.3,29.0,30.9,27.7,1.6,2,29.0,29.0,26.6,31.3,2.4
59,Disagree,5,18.5,16.0,20.0,16.9,1.6,2,18.5,16.0,16.2,20.9,2.4
60,Neither agree nor disagree,1,57.7,60.0,59.3,56.1,1.6,2,57.6,60.0,55.2,59.9,2.4
61,Neither agree nor disagree,2,26.8,25.0,28.4,25.2,1.6,2,25.1,25.0,22.8,27.5,2.4
62,Neither agree nor disagree,3,64.0,71.0,65.6,62.4,1.6,2,60.7,71.0,58.4,63.1,2.4
63,Neither agree nor disagree,4,74.9,71.0,76.5,73.3,1.6,2,72.4,71.0,70.1,74.8,2.4
64,Neither agree nor disagree,5,44.3,45.0,45.9,42.7,1.6,2,43.3,45.0,40.9,45.6,2.4
65,Agree,1,56.9,60.0,58.5,55.4,1.6,2,57.9,60.0,55.5,60.2,2.4
66,Agree,2,23.0,24.0,24.6,21.5,1.6,2,18.7,24.0,16.4,21.1,2.4
67,Agree,3,119.1,118.0,120.7,117.5,1.6,2,119.8,118.0,117.4,122.2,2.4
68,Agree,4,76.9,75.0,78.5,75.3,1.6,2,77.6,75.0,75.2,79.9,2.4
69,Agree,5,16.5,17.0,18.0,14.9,1.6,2,16.5,17.0,14.2,18.9,2.4
70,Strongly agree,1,47.6,46.0,49.2,46.0,1.6,2,45.7,46.0,43.3,48.0,2.4
71,Strongly agree,2,19.7,18.0,21.3,18.1,1.6,2,20.3,18.0,17.9,22.6,2.4
72,Strongly agree,3,50.8,58.0,52.4,49.3,1.6,2,55.9,58.0,53.5,58.2,2.4
73,Strongly agree,4,28.3,31.0,29.8,26.7,1.6,2,26.4,31.0,24.1,28.8,2.4
74,Strongly agree,5,15.8,20.0,17.3,14.2,1.6,2,14.4,20.0,12.0,16.7,2.4
75,Strongly disagree,1,63.6,64.0,64.8,62.4,1.2,3,62.9,64.0,61.3,64.5,1.6
76,Strongly disagree,2,17.6,11.0,18.7,16.4,1.2,3,13.9,11.0,12.4,15.5,1.6
77,Strongly disagree,3,18.2,29.0,19.4,17.0,1.2,3,15.8,29.0,14.2,17.3,1.6
78,Strongly disagree,4,14.2,16.0,15.3,13.0,1.2,3,15.0,16.0,13.4,16.6,1.6
79,Strongly disagree,5,34.4,29.0,35.6,33.2,1.2,3,34.0,29.0,32.4,35.6,1.6
80,Disagree,1,23.6,26.0,24.8,22.4,1.2,3,25.0,26.0,23.5,26.6,1.6
81,Disagree,2,16.5,15.0,17.7,15.3,1.2,3,16.2,15.0,14.6,17.8,1.6
82,Disagree,3,26.3,26.0,27.5,25.1,1.2,3,25.6,26.0,24.0,27.2,1.6
83,Disagree,4,30.8,29.0,32.0,29.6,1.2,3,29.3,29.0,27.7,30.9,1.6
84,Disagree,5,18.3,16.0,19.5,17.1,1.2,3,18.5,16.0,16.9,20.0,1.6
85,Neither agree nor disagree,1,55.6,60.0,56.8,54.4,1.2,3,57.7,60.0,56.1,59.3,1.6
86,Neither agree nor disagree,2,23.9,25.0,25.1,22.7,1.2,3,26.8,25.0,25.2,28.4,1.6
87,Neither agree nor disagree,3,63.3,71.0,64.5,62.2,1.2,3,64.0,71.0,62.4,65.6,1.6
88,Neither agree nor disagree,4,73.3,71.0,74.5,72.2,1.2,3,74.9,71.0,73.3,76.5,1.6
89,Neither agree nor disagree,5,45.5,45.0,46.7,44.3,1.2,3,44.3,45.0,42.7,45.9,1.6
90,Agree,1,57.8,60.0,59.0,56.6,1.2,3,56.9,60.0,55.4,58.5,1.6
91,Agree,2,24.2,24.0,25.4,23.1,1.2,3,23.0,24.0,21.5,24.6,1.6
92,Agree,3,117.7,118.0,118.8,116.5,1.2,3,119.1,118.0,117.5,120.7,1.6
93,Agree,4,75.9,75.0,77.1,74.8,1.2,3,76.9,75.0,75.3,78.5,1.6
94,Agree,5,16.8,17.0,17.9,15.6,1.2,3,16.5,17.0,14.9,18.0,1.6
95,Strongly agree,1,47.3,46.0,48.5,46.1,1.2,3,47.6,46.0,46.0,49.2,1.6
96,Strongly agree,2,16.5,18.0,17.7,15.4,1.2,3,19.7,18.0,18.1,21.3,1.6
97,Strongly agree,3,53.4,58.0,54.6,52.2,1.2,3,50.8,58.0,49.3,52.4,1.6
98,Strongly agree,4,28.3,31.0,29.5,27.1,1.2,3,28.3,31.0,26.7,29.8,1.6
99,Strongly agree,5,17.6,20.0,18.8,16.4,1.2,3,15.8,20.0,14.2,17.3,1.6
100,Strongly disagree,1,62.0,64.0,63.0,61.1,0.9,4,63.6,64.0,62.4,64.8,1.2
101,Strongly disagree,2,15.2,11.0,16.2,14.3,0.9,4,17.6,11.0,16.4,18.7,1.2
102,Strongly disagree,3,19.8,29.0,20.8,18.9,0.9,4,18.2,29.0,17.0,19.4,1.2
103,Strongly disagree,4,14.9,16.0,15.8,14.0,0.9,4,14.2,16.0,13.0,15.3,1.2
104,Strongly disagree,5,33.4,29.0,34.4,32.5,0.9,4,34.4,29.0,33.2,35.6,1.2
105,Disagree,1,22.8,26.0,23.7,21.8,0.9,4,23.6,26.0,22.4,24.8,1.2
106,Disagree,2,18.0,15.0,19.0,17.1,0.9,4,16.5,15.0,15.3,17.7,1.2
107,Disagree,3,26.3,26.0,27.3,25.4,0.9,4,26.3,26.0,25.1,27.5,1.2
108,Disagree,4,29.8,29.0,30.8,28.9,0.9,4,30.8,29.0,29.6,32.0,1.2
109,Disagree,5,17.4,16.0,18.3,16.4,0.9,4,18.3,16.0,17.1,19.5,1.2
110,Neither agree nor disagree,1,55.8,60.0,56.8,54.9,0.9,4,55.6,60.0,54.4,56.8,1.2
111,Neither agree nor disagree,2,24.2,25.0,25.2,23.3,0.9,4,23.9,25.0,22.7,25.1,1.2
112,Neither agree nor disagree,3,66.8,71.0,67.7,65.8,0.9,4,63.3,71.0,62.2,64.5,1.2
113,Neither agree nor disagree,4,73.7,71.0,74.6,72.7,0.9,4,73.3,71.0,72.2,74.5,1.2
114,Neither agree nor disagree,5,44.9,45.0,45.9,44.0,0.9,4,45.5,45.0,44.3,46.7,1.2
115,Agree,1,58.4,60.0,59.4,57.5,0.9,4,57.8,60.0,56.6,59.0,1.2
116,Agree,2,24.9,24.0,25.8,24.0,0.9,4,24.2,24.0,23.1,25.4,1.2
117,Agree,3,116.9,118.0,117.9,116.0,0.9,4,117.7,118.0,116.5,118.8,1.2
118,Agree,4,73.6,75.0,74.5,72.6,0.9,4,75.9,75.0,74.8,77.1,1.2
119,Agree,5,15.5,17.0,16.4,14.6,0.9,4,16.8,17.0,15.6,17.9,1.2
120,Strongly agree,1,47.2,46.0,48.2,46.3,0.9,4,47.3,46.0,46.1,48.5,1.2
121,Strongly agree,2,16.9,18.0,17.9,16.0,0.9,4,16.5,18.0,15.4,17.7,1.2
122,Strongly agree,3,54.0,58.0,55.0,53.1,0.9,4,53.4,58.0,52.2,54.6,1.2
123,Strongly agree,4,31.4,31.0,32.3,30.4,0.9,4,28.3,31.0,27.1,29.5,1.2
124,Strongly agree,5,18.2,20.0,19.2,17.3,0.9,4,17.6,20.0,16.4,18.8,1.2
125,Strongly disagree,1,62.5,64.0,63.3,61.8,0.8,5,62.0,64.0,61.1,63.0,0.9
126,Strongly disagree,2,14.0,11.0,14.8,13.3,0.8,5,15.2,11.0,14.3,16.2,0.9
127,Strongly disagree,3,21.7,29.0,22.5,20.9,0.8,5,19.8,29.0,18.9,20.8,0.9
128,Strongly disagree,4,14.0,16.0,14.7,13.2,0.8,5,14.9,16.0,14.0,15.8,0.9
129,Strongly disagree,5,32.3,29.0,33.1,31.5,0.8,5,33.4,29.0,32.5,34.4,0.9
130,Disagree,1,22.8,26.0,23.6,22.0,0.8,5,22.8,26.0,21.8,23.7,0.9
131,Disagree,2,17.7,15.0,18.5,16.9,0.8,5,18.0,15.0,17.1,19.0,0.9
132,Disagree,3,26.3,26.0,27.1,25.5,0.8,5,26.3,26.0,25.4,27.3,0.9
133,Disagree,4,30.7,29.0,31.5,29.9,0.8,5,29.8,29.0,28.9,30.8,0.9
134,Disagree,5,16.8,16.0,17.6,16.0,0.8,5,17.4,16.0,16.4,18.3,0.9
135,Neither agree nor disagree,1,56.9,60.0,57.7,56.1,0.8,5,55.8,60.0,54.9,56.8,0.9
136,Neither agree nor disagree,2,24.8,25.0,25.6,24.0,0.8,5,24.2,25.0,23.3,25.2,0.9
137,Neither agree nor disagree,3,68.4,71.0,69.2,67.6,0.8,5,66.8,71.0,65.8,67.7,0.9
138,Neither agree nor disagree,4,74.3,71.0,75.1,73.5,0.8,5,73.7,71.0,72.7,74.6,0.9
139,Neither agree nor disagree,5,43.0,45.0,43.7,42.2,0.8,5,44.9,45.0,44.0,45.9,0.9
140,Agree,1,58.8,60.0,59.6,58.0,0.8,5,58.4,60.0,57.5,59.4,0.9
141,Agree,2,26.0,24.0,26.8,25.2,0.8,5,24.9,24.0,24.0,25.8,0.9
142,Agree,3,118.4,118.0,119.2,117.6,0.8,5,116.9,118.0,116.0,117.9,0.9
143,Agree,4,73.9,75.0,74.6,73.1,0.8,5,73.6,75.0,72.6,74.5,0.9
144,Agree,5,16.7,17.0,17.5,16.0,0.8,5,15.5,17.0,14.6,16.4,0.9
145,Strongly agree,1,46.9,46.0,47.7,46.1,0.8,5,47.2,46.0,46.3,48.2,0.9
146,Strongly agree,2,17.1,18.0,17.9,16.3,0.8,5,16.9,18.0,16.0,17.9,0.9
147,Strongly agree,3,54.8,58.0,55.6,54.0,0.8,5,54.0,58.0,53.1,55.0,0.9
148,Strongly agree,4,31.4,31.0,32.1,30.6,0.8,5,31.4,31.0,30.4,32.3,0.9
149,Strongly agree,5,19.6,20.0,20.4,18.8,0.8,5,18.2,20.0,17.3,19.2,0.9
150,Strongly disagree,1,61.3,64.0,61.9,60.6,0.7,6,62.5,64.0,61.8,63.3,0.8
151,Strongly disagree,2,14.7,11.0,15.4,14.0,0.7,6,14.0,11.0,13.3,14.8,0.8
152,Strongly disagree,3,23.3,29.0,24.0,22.6,0.7,6,21.7,29.0,20.9,22.5,0.8
153,Strongly disagree,4,12.6,16.0,13.3,11.9,0.7,6,14.0,16.0,13.2,14.7,0.8
154,Strongly disagree,5,31.4,29.0,32.0,30.7,0.7,6,32.3,29.0,31.5,33.1,0.8
155,Disagree,1,22.6,26.0,23.3,21.9,0.7,6,22.8,26.0,22.0,23.6,0.8
156,Disagree,2,17.8,15.0,18.4,17.1,0.7,6,17.7,15.0,16.9,18.5,0.8
157,Disagree,3,26.1,26.0,26.8,25.4,0.7,6,26.3,26.0,25.5,27.1,0.8
158,Disagree,4,31.5,29.0,32.2,30.8,0.7,6,30.7,29.0,29.9,31.5,0.8
159,Disagree,5,16.8,16.0,17.4,16.1,0.7,6,16.8,16.0,16.0,17.6,0.8
160,Neither agree nor disagree,1,57.9,60.0,58.6,57.2,0.7,6,56.9,60.0,56.1,57.7,0.8
161,Neither agree nor disagree,2,25.6,25.0,26.3,25.0,0.7,6,24.8,25.0,24.0,25.6,0.8
162,Neither agree nor disagree,3,68.7,71.0,69.4,68.1,0.7,6,68.4,71.0,67.6,69.2,0.8
163,Neither agree nor disagree,4,73.9,71.0,74.6,73.2,0.7,6,74.3,71.0,73.5,75.1,0.8
164,Neither agree nor disagree,5,43.7,45.0,44.4,43.0,0.7,6,43.0,45.0,42.2,43.7,0.8
165,Agree,1,59.0,60.0,59.7,58.3,0.7,6,58.8,60.0,58.0,59.6,0.8
166,Agree,2,25.8,24.0,26.5,25.2,0.7,6,26.0,24.0,25.2,26.8,0.8
167,Agree,3,116.7,118.0,117.4,116.0,0.7,6,118.4,118.0,117.6,119.2,0.8
168,Agree,4,74.1,75.0,74.8,73.4,0.7,6,73.9,75.0,73.1,74.6,0.8
169,Agree,5,16.7,17.0,17.4,16.0,0.7,6,16.7,17.0,16.0,17.5,0.8
170,Strongly agree,1,46.5,46.0,47.2,45.9,0.7,6,46.9,46.0,46.1,47.7,0.8
171,Strongly agree,2,18.0,18.0,18.6,17.3,0.7,6,17.1,18.0,16.3,17.9,0.8
172,Strongly agree,3,55.3,58.0,56.0,54.7,0.7,6,54.8,58.0,54.0,55.6,0.8
173,Strongly agree,4,30.8,31.0,31.5,30.2,0.7,6,31.4,31.0,30.6,32.1,0.8
174,Strongly agree,5,20.0,20.0,20.7,19.4,0.7,6,19.6,20.0,18.8,20.4,0.8
