,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
56,Agree,Instructor 3,77.9,78.0,79.1,76.7,1.2,3,77.9,78.0,76.3,79.5,1.6
57,Strongly agree,Instructor 1,174.9,177.0,176.0,173.7,1.2,3,176.0,177.0,174.5,177.6,1.6
58,Strongly agree,Instructor 2,168.6,170.0,169.8,167.4,1.2,3,168.0,170.0,166.5,169.6,1.6
59,Strongly agree,Instructor 3,97.1,97.0,98.3,95.9,1.2,3,97.3,97.0,95.7,98.8,1.6
60,Strongly disagree,Instructor 1,19.9,19.0,20.9,19.0,0.9,4,19.9,19.0,18.7,21.1,1.2
61,Strongly disagree,Instructor 2,9.6,9.0,10.5,8.6,0.9,4,11.1,9.0,9.9,12.2,1.2
62,Strongly disagree,Instructor 3,35.0,34.0,35.9,34.1,0.9,4,35.0,34.0,33.8,36.1,1.2
63,Disagree,Instructor 1,34.2,36.0,35.2,33.3,0.9,4,31.5,36.0,30.3,32.6,1.2
64,Disagree,Instructor 2,21.5,24.0,22.4,20.6,0.9,4,21.5,24.0,20.3,22.7,1.2
65,Disagree,Instructor 3,25.8,24.0,26.7,24.8,0.9,4,27.7,24.0,26.6,28.9,1.2
66,Neither agree nor disagree,Instructor 1,23.8,25.0,24.8,22.9,0.9,4,22.7,25.0,21.5,23.8,1.2
67,Neither agree nor disagree,Instructor 2,59.6,61.0,60.6,58.7,0.9,4,59.7,61.0,58.5,60.9,1.2
68,Neither agree nor disagree,Instructor 3,83.6,88.0,84.5,82.6,0.9,4,83.4,88.0,82.2,84.6,1.2
69,Agree,Instructor 1,54.0,52.0,54.9,53.1,0.9,4,55.4,52.0,54.3,56.6,1.2
70,Agree,Instructor 2,103.7,106.0,104.6,102.7,0.9,4,106.6,106.0,105.5,107.8,1.2
71,Agree,Instructor 3,78.4,78.0,79.3,77.4,0.9,4,77.9,78.0,76.7,79.1,1.2
72,Strongly agree,Instructor 1,176.1,177.0,177.1,175.2,0.9,4,174.9,177.0,173.7,176.0,1.2
73,Strongly agree,Instructor 2,170.1,170.0,171.1,169.2,0.9,4,168.6,170.0,167.4,169.8,1.2
74,Strongly agree,Instructor 3,96.7,97.0,97.7,95.8,0.9,4,97.1,97.0,95.9,98.3,1.2
75,Strongly disagree,Instructor 1,18.7,19.0,19.5,17.9,0.8,5,19.9,19.0,19.0,20.9,0.9
76,Strongly disagree,Instructor 2,9.0,9.0,9.8,8.2,0.8,5,9.6,9.0,8.6,10.5,0.9
77,Strongly disagree,Instructor 3,35.7,34.0,36.5,34.9,0.8,5,35.0,34.0,34.1,35.9,0.9
78,Disagree,Instructor 1,34.4,36.0,35.2,33.6,0.8,5,34.2,36.0,33.3,35.2,0.9
79,Disagree,Instructor 2,21.4,24.0,22.2,20.6,0.8,5,21.5,24.0,20.6,22.4,0.9
80,Disagree,Instructor 3,25.4,24.0,26.2,24.6,0.8,5,25.8,24.0,24.8,26.7,0.9
81,Neither agree nor disagree,Instructor 1,24.4,25.0,25.2,23.6,0.8,5,23.8,25.0,22.9,24.8,0.9
82,Neither agree nor disagree,Instructor 2,59.1,61.0,59.9,58.3,0.8,5,59.6,61.0,58.7,60.6,0.9
83,Neither agree nor disagree,Instructor 3,85.0,88.0,85.8,84.2,0.8,5,83.6,88.0,82.6,84.5,0.9
84,Agree,Instructor 1,53.5,52.0,54.3,52.7,0.8,5,54.0,52.0,53.1,54.9,0.9
85,Agree,Instructor 2,103.3,106.0,104.1,102.5,0.8,5,103.7,106.0,102.7,104.6,0.9
86,Agree,Instructor 3,78.0,78.0,78.8,77.2,0.8,5,78.4,78.0,77.4,79.3,0.9
87,Strongly agree,Instructor 1,177.5,177.0,178.3,176.7,0.8,5,176.1,177.0,175.2,177.1,0.9
88,Strongly agree,Instructor 2,170.1,170.0,170.9,169.3,0.8,5,170.1,170.0,169.2,171.1,0.9
89,Strongly agree,Instructor 3,96.1,97.0,96.9,95.3,0.8,5,96.7,97.0,95.8,97.7,0.9
90,Strongly disagree,Instructor 1,18.7,19.0,19.3,18.0,0.7,6,18.7,19.0,17.9,19.5,0.8
91,Strongly disagree,Instructor 2,8.7,9.0,9.4,8.0,0.7,6,9.0,9.0,8.2,9.8,0.8
92,Strongly disagree,Instructor 3,35.5,34.0,36.2,34.9,0.7,6,35.7,34.0,34.9,36.5,0.8
93,Disagree,Instructor 1,33.8,36.0,34.4,33.1,0.7,6,34.4,36.0,33.6,35.2,0.8
94,Disagree,Instructor 2,21.8,24.0,22.5,21.1,0.7,6,21.4,24.0,20.6,22.2,0.8
95,Disagree,Instructor 3,25.5,24.0,26.2,24.8,0.7,6,25.4,24.0,24.6,26.2,0.8
96,Neither agree nor disagree,Instructor 1,24.2,25.0,24.9,23.6,0.7,6,24.4,25.0,23.6,25.2,0.8
97,Neither agree nor disagree,Instructor 2,59.0,61.0,59.7,58.3,0.7,6,59.1,61.0,58.3,59.9,0.8
98,Neither agree nor disagree,Instructor 3,85.0,88.0,85.7,84.3,0.7,6,85.0,88.0,84.2,85.8,0.8
99,Agree,Instructor 1,54.9,52.0,55.6,54.2,0.7,6,53.5,52.0,52.7,54.3,0.8
100,Agree,Instructor 2,104.9,106.0,105.6,104.2,0.7,6,103.3,106.0,102.5,104.1,0.8
101,Agree,Instructor 3,78.7,78.0,79.4,78.1,0.7,6,78.0,78.0,77.2,78.8,0.8
102,Strongly agree,Instructor 1,177.4,177.0,178.0,176.7,0.7,6,177.5,177.0,176.7,178.3,0.8
103,Strongly agree,Instructor 2,170.0,170.0,170.6,169.3,0.7,6,170.1,170.0,169.3,170.9,0.8
104,Strongly agree,Instructor 3,96.4,97.0,97.1,95.7,0.7,6,96.1,97.0,95.3,96.9,0.8
