,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
60,Strongly disagree,Instructor 1,17.2,17.0,18.2,16.3,0.9,4,16.5,17.0,15.4,17.7,1.2
61,Strongly disagree,Instructor 2,23.5,26.0,24.5,22.6,0.9,4,25.6,26.0,24.4,26.8,1.2
62,Strongly disagree,Instructor 3,108.9,109.0,109.8,108.0,0.9,4,108.7,109.0,107.6,109.9,1.2
63,Disagree,Instructor 1,17.3,15.0,18.3,16.4,0.9,4,15.0,15.0,13.8,16.2,1.2
64,Disagree,Instructor 2,26.0,27.0,26.9,25.0,0.9,4,24.9,27.0,23.7,26.1,1.2
65,Disagree,Instructor 3,86.1,90.0,87.1,85.2,0.9,4,87.0,90.0,85.8,88.2,1.2
66,Neither agree nor disagree,Instructor 1,35.2,32.0,36.1,34.2,0.9,4,36.0,32.0,34.8,37.2,1.2
67,Neither agree nor disagree,Instructor 2,66.4,67.0,67.4,65.5,0.9,4,65.9,67.0,64.7,67.1,1.2
68,Neither agree nor disagree,Instructor 3,187.9,190.0,188.8,187.0,0.9,4,187.7,190.0,186.5,188.9,1.2
69,Agree,Instructor 1,30.5,34.0,31.4,29.5,0.9,4,28.1,34.0,26.9,29.2,1.2
70,Agree,Instructor 2,82.3,81.0,83.3,81.4,0.9,4,80.7,81.0,79.5,81.8,1.2
71,Agree,Instructor 3,145.3,143.0,146.3,144.4,0.9,4,146.1,143.0,144.9,147.3,1.2
72,Strongly agree,Instructor 1,23.7,24.0,24.6,22.7,0.9,4,23.9,24.0,22.7,25.1,1.2
73,Strongly agree,Instructor 2,44.5,49.0,45.4,43.5,0.9,4,44.9,49.0,43.7,46.0,1.2
74,Strongly agree,Instructor 3,97.8,96.0,98.7,96.8,0.9,4,98.2,96.0,97.0,99.3,1.2
75,Strongly disagree,Instructor 1,17.5,17.0,18.3,16.7,0.8,5,17.2,17.0,16.3,18.2,0.9
76,Strongly disagree,Instructor 2,24.2,26.0,25.0,23.4,0.8,5,23.5,26.0,22.6,24.5,0.9
77,Strongly disagree,Instructor 3,109.3,109.0,110.1,108.6,0.8,5,108.9,109.0,108.0,109.8,0.9
78,Disagree,Instructor 1,16.8,15.0,17.6,16.0,0.8,5,17.3,15.0,16.4,18.3,0.9
79,Disagree,Instructor 2,25.1,27.0,25.9,24.3,0.8,5,26.0,27.0,25.0,26.9,0.9
80,Disagree,Instructor 3,86.4,90.0,87.1,85.6,0.8,5,86.1,90.0,85.2,87.1,0.9
81,Neither agree nor disagree,Instructor 1,34.4,32.0,35.2,33.7,0.8,5,35.2,32.0,34.2,36.1,0.9
82,Neither agree nor disagree,Instructor 2,67.1,67.0,67.9,66.3,0.8,5,66.4,67.0,65.5,67.4,0.9
83,Neither agree nor disagree,Instructor 3,187.1,190.0,187.9,186.3,0.8,5,187.9,190.0,187.0,188.8,0.9
84,Agree,Instructor 1,31.6,34.0,32.4,30.8,0.8,5,30.5,34.0,29.5,31.4,0.9
85,Agree,Instructor 2,81.7,81.0,82.5,81.0,0.8,5,82.3,81.0,81.4,83.3,0.9
86,Agree,Instructor 3,143.8,143.0,144.6,143.0,0.8,5,145.3,143.0,144.4,146.3,0.9
87,Strongly agree,Instructor 1,22.7,24.0,23.5,21.9,0.8,5,23.7,24.0,22.7,24.6,0.9
88,Strongly agree,Instructor 2,45.8,49.0,46.6,45.0,0.8,5,44.5,49.0,43.5,45.4,0.9
89,Strongly agree,Instructor 3,96.9,96.0,97.7,96.1,0.8,5,97.8,96.0,96.8,98.7,0.9
90,Strongly disagree,Instructor 1,16.4,17.0,17.1,15.7,0.7,6,17.5,17.0,16.7,18.3,0.8
91,Strongly disagree,Instructor 2,25.7,26.0,26.4,25.1,0.7,6,24.2,26.0,23.4,25.0,0.8
92,Strongly disagree,Instructor 3,109.4,109.0,110.0,108.7,0.7,6,109.3,109.0,108.6,110.1,0.8
93,Disagree,Instructor 1,17.0,15.0,17.7,16.4,0.7,6,16.8,15.0,16.0,17.6,0.8
94,Disagree,Instructor 2,25.6,27.0,26.3,24.9,0.7,6,25.1,27.0,24.3,25.9,0.8
95,Disagree,Instructor 3,88.6,90.0,89.3,87.9,0.7,6,86.4,90.0,85.6,87.1,0.8
96,Neither agree nor disagree,Instructor 1,34.2,32.0,34.9,33.5,0.7,6,34.4,32.0,33.7,35.2,0.8
97,Neither agree nor disagree,Instructor 2,67.0,67.0,67.7,66.4,0.7,6,67.1,67.0,66.3,67.9,0.8
98,Neither agree nor disagree,Instructor 3,187.7,190.0,188.3,187.0,0.7,6,187.1,190.0,186.3,187.9,0.8
99,Agree,Instructor 1,30.6,34.0,31.3,30.0,0.7,6,31.6,34.0,30.8,32.4,0.8
100,Agree,Instructor 2,81.7,81.0,82.4,81.0,0.7,6,81.7,81.0,81.0,82.5,0.8
101,Agree,Instructor 3,143.5,143.0,144.2,142.9,0.7,6,143.8,143.0,143.0,144.6,0.8
102,Strongly agree,Instructor 1,22.9,24.0,23.5,22.2,0.7,6,22.7,24.0,21.9,23.5,0.8
103,Strongly agree,Instructor 2,46.2,49.0,46.8,45.5,0.7,6,45.8,49.0,45.0,46.6,0.8
104,Strongly agree,Instructor 3,96.9,96.0,97.6,96.2,0.7,6,96.9,96.0,96.1,97.7,0.8
