,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
34,Disagree,Instructor 2,23.5,24.0,25.0,21.9,1.6,2,24.6,24.0,22.2,27.0,2.4
35,Disagree,Instructor 3,28.1,24.0,29.7,26.6,1.6,2,23.9,24.0,21.6,26.3,2.4
36,Neither agree nor disagree,Instructor 1,24.3,25.0,25.9,22.7,1.6,2,30.3,25.0,28.0,32.7,2.4
37,Neither agree nor disagree,Instructor 2,60.6,61.0,62.2,59.1,1.6,2,59.0,61.0,56.7,61.4,2.4
38,Neither agree nor disagree,Instructor 3,86.5,88.0,88.1,84.9,1.6,2,85.0,88.0,82.6,87.3,2.4
39,Agree,Instructor 1,52.5,52.0,54.1,50.9,1.6,2,52.7,52.0,50.4,55.1,2.4
40,Agree,Instructor 2,107.8,106.0,109.3,106.2,1.6,2,108.0,106.0,105.6,110.4,2.4
41,Agree,Instructor 3,75.7,78.0,77.3,74.2,1.6,2,73.2,78.0,70.9,75.6,2.4
42,Strongly agree,Instructor 1,175.4,177.0,176.9,173.8,1.6,2,174.6,177.0,172.3,177.0,2.4
43,Strongly agree,Instructor 2,173.7,170.0,175.3,172.2,1.6,2,169.4,170.0,167.0,171.8,2.4
44,Strongly agree,Instructor 3,93.4,97.0,95.0,91.8,1.6,2,91.6,97.0,89.3,94.0,2.4
45,Strongly disagree,Instructor 1,18.6,19.0,19.8,17.4,1.2,3,16.6,19.0,15.1,18.2,1.6
46,Strongly disagree,Instructor 2,7.9,9.0,9.1,6.7,1.2,3,7.8,9.0,6.2,9.3,1.6
47,Strongly disagree,Instructor 3,34.8,34.0,36.0,33.6,1.2,3,35.1,34.0,33.5,36.7,1.6
48,Disagree,Instructor 1,35.2,36.0,36.4,34.0,1.2,3,36.4,36.0,34.8,38.0,1.6
49,Disagree,Instructor 2,23.3,24.0,24.5,22.2,1.2,3,23.5,24.0,21.9,25.0,1.6
50,Disagree,Instructor 3,26.1,24.0,27.3,24.9,1.2,3,28.1,24.0,26.6,29.7,1.6
51,Neither agree nor disagree,Instructor 1,25.2,25.0,26.4,24.0,1.2,3,24.3,25.0,22.7,25.9,1.6
52,Neither agree nor disagree,Instructor 2,60.8,61.0,61.9,59.6,1.2,3,60.6,61.0,59.1,62.2,1.6
53,Neither agree nor disagree,Instructor 3,88.2,88.0,89.4,87.0,1.2,3,86.5,88.0,84.9,88.1,1.6
54,Agree,Instructor 1,53.1,52.0,54.3,51.9,1.2,3,52.5,52.0,50.9,54.1,1.6
55,Agree,Instructor 2,105.7,106.0,106.8,104.5,1.2,3,107.8,106.0,106.2,109.3,1.6
56,Agree,Instructor 3,77.0,78.0,78.2,75.8,1.2,3,75.7,78.0,74.2,77.3,1.6
57,Strongly agree,Instructor 1,175.5,177.0,176.7,174.4,1.2,3,175.4,177.0,173.8,176.9,1.6
58,Strongly agree,Instructor 2,172.7,170.0,173.9,171.6,1.2,3,173.7,170.0,172.2,175.3,1.6
59,Strongly agree,Instructor 3,92.8,97.0,93.9,91.6,1.2,3,93.4,97.0,91.8,95.0,1.6
60,Strongly disagree,Instructor 1,19.4,19.0,20.4,18.5,0.9,4,18.6,19.0,17.4,19.8,1.2
61,Strongly disagree,Instructor 2,8.7,9.0,9.6,7.7,0.9,4,7.9,9.0,6.7,9.1,1.2
62,Strongly disagree,Instructor 3,35.2,34.0,36.2,34.3,0.9,4,34.8,34.0,33.6,36.0,1.2
63,Disagree,Instructor 1,34.7,36.0,35.7,33.8,0.9,4,35.2,36.0,34.0,36.4,1.2
64,Disagree,Instructor 2,23.7,24.0,24.7,22.8,0.9,4,23.3,24.0,22.2,24.5,1.2
65,Disagree,Instructor 3,25.6,24.0,26.6,24.7,0.9,4,26.1,24.0,24.9,27.3,1.2
66,Neither agree nor disagree,Instructor 1,25.4,25.0,26.4,24.5,0.9,4,25.2,25.0,24.0,26.4,1.2
67,Neither agree nor disagree,Instructor 2,60.8,61.0,61.7,59.9,0.9,4,60.8,61.0,59.6,61.9,1.2
68,Neither agree nor disagree,Instructor 3,88.2,88.0,89.1,87.3,0.9,4,88.2,88.0,87.0,89.4,1.2
69,Agree,Instructor 1,54.1,52.0,55.1,53.2,0.9,4,53.1,52.0,51.9,54.3,1.2
70,Agree,Instructor 2,105.9,106.0,106.9,105.0,0.9,4,105.7,106.0,104.5,106.8,1.2
71,Agree,Instructor 3,77.4,78.0,78.3,76.4,0.9,4,77.0,78.0,75.8,78.2,1.2
72,Strongly agree,Instructor 1,175.4,177.0,176.3,174.4,0.9,4,175.5,177.0,174.4,176.7,1.2
73,Strongly agree,Instructor 2,172.7,170.0,173.6,171.7,0.9,4,172.7,170.0,171.6,173.9,1.2
74,Strongly agree,Instructor 3,93.7,97.0,94.6,92.7,0.9,4,92.8,97.0,91.6,93.9,1.2
75,Strongly disagree,Instructor 1,17.5,19.0,18.3,16.7,0.8,5,19.4,19.0,18.5,20.4,0.9
76,Strongly disagree,Instructor 2,9.6,9.0,10.4,8.8,0.8,5,8.7,9.0,7.7,9.6,0.9
77,Strongly disagree,Instructor 3,34.3,34.0,35.0,33.5,0.8,5,35.2,34.0,34.3,36.2,0.9
78,Disagree,Instructor 1,35.1,36.0,35.9,34.3,0.8,5,34.7,36.0,33.8,35.7,0.9
79,Disagree,Instructor 2,24.6,24.0,25.4,23.8,0.8,5,23.7,24.0,22.8,24.7,0.9
80,Disagree,Instructor 3,25.2,24.0,26.0,24.5,0.8,5,25.6,24.0,24.7,26.6,0.9
81,Neither agree nor disagree,Instructor 1,25.4,25.0,26.2,24.6,0.8,5,25.4,25.0,24.5,26.4,0.9
82,Neither agree nor disagree,Instructor 2,60.8,61.0,61.6,60.0,0.8,5,60.8,61.0,59.9,61.7,0.9
83,Neither agree nor disagree,Instructor 3,88.5,88.0,89.3,87.8,0.8,5,88.2,88.0,87.3,89.1,0.9
84,Agree,Instructor 1,53.9,52.0,54.6,53.1,0.8,5,54.1,52.0,53.2,55.1,0.9
85,Agree,Instructor 2,105.8,106.0,106.6,105.1,0.8,5,105.9,106.0,105.0,106.9,0.9
86,Agree,Instructor 3,77.1,78.0,77.9,76.3,0.8,5,77.4,78.0,76.4,78.3,0.9
87,Strongly agree,Instructor 1,174.3,177.0,175.0,173.5,0.8,5,175.4,177.0,174.4,176.3,0.9
88,Strongly agree,Instructor 2,172.8,170.0,173.6,172.0,0.8,5,172.7,170.0,171.7,173.6,0.9
89,Strongly agree,Instructor 3,94.4,97.0,95.2,93.6,0.8,5,93.7,97.0,92.7,94.6,0.9
90,Strongly disagree,Instructor 1,18.1,19.0,18.8,17.5,0.7,6,17.5,19.0,16.7,18.3,0.8
91,Strongly disagree,Instructor 2,10.2,9.0,10.8,9.5,0.7,6,9.6,9.0,8.8,10.4,0.8
92,Strongly disagree,Instructor 3,34.7,34.0,35.4,34.0,0.7,6,34.3,34.0,33.5,35.0,0.8
93,Disagree,Instructor 1,35.2,36.0,35.9,34.6,0.7,6,35.1,36.0,34.3,35.9,0.8
94,Disagree,Instructor 2,24.4,24.0,25.1,23.8,0.7,6,24.6,24.0,23.8,25.4,0.8
95,Disagree,Instructor 3,25.1,24.0,25.8,24.4,0.7,6,25.2,24.0,24.5,26.0,0.8
96,Neither agree nor disagree,Instructor 1,26.7,25.0,27.3,26.0,0.7,6,25.4,25.0,24.6,26.2,0.8
97,Neither agree nor disagree,Instructor 2,61.8,61.0,62.4,61.1,0.7,6,60.8,61.0,60.0,61.6,0.8
98,Neither agree nor disagree,Instructor 3,89.1,88.0,89.8,88.4,0.7,6,88.5,88.0,87.8,89.3,0.8
99,Agree,Instructor 1,53.4,52.0,54.1,52.7,0.7,6,53.9,52.0,53.1,54.6,0.8
100,Agree,Instructor 2,105.7,106.0,106.4,105.1,0.7,6,105.8,106.0,105.1,106.6,0.8
101,Agree,Instructor 3,75.3,78.0,75.9,74.6,0.7,6,77.1,78.0,76.3,77.9,0.8
102,Strongly agree,Instructor 1,173.9,177.0,174.6,173.3,0.7,6,174.3,177.0,173.5,175.0,0.8
103,Strongly agree,Instructor 2,172.6,170.0,173.3,171.9,0.7,6,172.8,170.0,172.0,173.6,0.8
104,Strongly agree,Instructor 3,95.1,97.0,95.8,94.4,0.7,6,94.4,97.0,93.6,95.2,0.8
