,Q9,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
37,Neither agree nor disagree,Instructor 2,69.9,68.0,71.5,68.4,1.6,2,69.8,68.0,67.4,72.1,2.4
38,Neither agree nor disagree,Instructor 3,214.1,217.0,215.7,212.5,1.6,2,211.8,217.0,209.5,214.2,2.4
39,Agree,Instructor 1,39.5,39.0,41.0,37.9,1.6,2,40.2,39.0,37.8,42.6,2.4
40,Agree,Instructor 2,75.9,76.0,77.5,74.4,1.6,2,75.2,76.0,72.9,77.6,2.4
41,Agree,Instructor 3,145.7,146.0,147.3,144.1,1.6,2,146.2,146.0,143.8,148.5,2.4
42,Strongly agree,Instructor 1,32.9,37.0,34.5,31.3,1.6,2,31.6,37.0,29.2,33.9,2.4
43,Strongly agree,Instructor 2,53.9,54.0,55.5,52.4,1.6,2,54.1,54.0,51.7,56.5,2.4
44,Strongly agree,Instructor 3,76.3,80.0,77.8,74.7,1.6,2,77.9,80.0,75.5,80.2,2.4
45,Strongly disagree,Instructor 1,23.2,23.0,24.4,22.0,1.2,3,22.6,23.0,21.0,24.1,1.6
46,Strongly disagree,Instructor 2,33.0,32.0,34.2,31.8,1.2,3,33.4,32.0,31.8,35.0,1.6
47,Strongly disagree,Instructor 3,81.6,83.0,82.8,80.4,1.2,3,80.9,83.0,79.3,82.4,1.6
48,Disagree,Instructor 1,18.5,19.0,19.7,17.3,1.2,3,20.5,19.0,18.9,22.0,1.6
49,Disagree,Instructor 2,20.8,20.0,22.0,19.6,1.2,3,22.1,20.0,20.5,23.7,1.6
50,Disagree,Instructor 3,75.4,75.0,76.5,74.2,1.2,3,76.8,75.0,75.2,78.4,1.6
51,Neither agree nor disagree,Instructor 1,29.8,31.0,31.0,28.6,1.2,3,30.9,31.0,29.3,32.5,1.6
52,Neither agree nor disagree,Instructor 2,69.5,68.0,70.7,68.4,1.2,3,69.9,68.0,68.4,71.5,1.6
53,Neither agree nor disagree,Instructor 3,214.0,217.0,215.2,212.8,1.2,3,214.1,217.0,212.5,215.7,1.6
54,Agree,Instructor 1,39.7,39.0,40.9,38.6,1.2,3,39.5,39.0,37.9,41.0,1.6
55,Agree,Instructor 2,76.0,76.0,77.2,74.8,1.2,3,75.9,76.0,74.4,77.5,1.6
56,Agree,Instructor 3,146.2,146.0,147.4,145.0,1.2,3,145.7,146.0,144.1,147.3,1.6
57,Strongly agree,Instructor 1,35.5,37.0,36.7,34.4,1.2,3,32.9,37.0,31.3,34.5,1.6
58,Strongly agree,Instructor 2,54.9,54.0,56.1,53.7,1.2,3,53.9,54.0,52.4,55.5,1.6
59,Strongly agree,Instructor 3,77.7,80.0,78.9,76.5,1.2,3,76.3,80.0,74.7,77.8,1.6
60,Strongly disagree,Instructor 1,23.3,23.0,24.3,22.4,0.9,4,23.2,23.0,22.0,24.4,1.2
61,Strongly disagree,Instructor 2,32.6,32.0,33.5,31.7,0.9,4,33.0,32.0,31.8,34.2,1.2
62,Strongly disagree,Instructor 3,81.9,83.0,82.9,81.0,0.9,4,81.6,83.0,80.4,82.8,1.2
63,Disagree,Instructor 1,18.0,19.0,18.9,17.0,0.9,4,18.5,19.0,17.3,19.7,1.2
64,Disagree,Instructor 2,21.0,20.0,22.0,20.1,0.9,4,20.8,20.0,19.6,22.0,1.2
65,Disagree,Instructor 3,75.8,75.0,76.8,74.9,0.9,4,75.4,75.0,74.2,76.5,1.2
66,Neither agree nor disagree,Instructor 1,30.8,31.0,31.8,29.9,0.9,4,29.8,31.0,28.6,31.0,1.2
67,Neither agree nor disagree,Instructor 2,69.3,68.0,70.2,68.3,0.9,4,69.5,68.0,68.4,70.7,1.2
68,Neither agree nor disagree,Instructor 3,213.5,217.0,214.4,212.5,0.9,4,214.0,217.0,212.8,215.2,1.2
69,Agree,Instructor 1,40.9,39.0,41.8,39.9,0.9,4,39.7,39.0,38.6,40.9,1.2
70,Agree,Instructor 2,76.6,76.0,77.5,75.7,0.9,4,76.0,76.0,74.8,77.2,1.2
71,Agree,Instructor 3,146.2,146.0,147.1,145.2,0.9,4,146.2,146.0,145.0,147.4,1.2
72,Strongly agree,Instructor 1,35.3,37.0,36.2,34.3,0.9,4,35.5,37.0,34.4,36.7,1.2
73,Strongly agree,Instructor 2,54.0,54.0,55.0,53.1,0.9,4,54.9,54.0,53.7,56.1,1.2
74,Strongly agree,Instructor 3,76.9,80.0,77.8,75.9,0.9,4,77.7,80.0,76.5,78.9,1.2
75,Strongly disagree,Instructor 1,22.8,23.0,23.6,22.0,0.8,5,23.3,23.0,22.4,24.3,0.9
76,Strongly disagree,Instructor 2,32.8,32.0,33.6,32.1,0.8,5,32.6,32.0,31.7,33.5,0.9
77,Strongly disagree,Instructor 3,82.3,83.0,83.1,81.5,0.8,5,81.9,83.0,81.0,82.9,0.9
78,Disagree,Instructor 1,17.8,19.0,18.6,17.0,0.8,5,18.0,19.0,17.0,18.9,0.9
79,Disagree,Instructor 2,21.1,20.0,21.9,20.3,0.8,5,21.0,20.0,20.1,22.0,0.9
80,Disagree,Instructor 3,77.1,75.0,77.8,76.3,0.8,5,75.8,75.0,74.9,76.8,0.9
81,Neither agree nor disagree,Instructor 1,29.8,31.0,30.6,29.0,0.8,5,30.8,31.0,29.9,31.8,0.9
82,Neither agree nor disagree,Instructor 2,67.9,68.0,68.7,67.1,0.8,5,69.3,68.0,68.3,70.2,0.9
83,Neither agree nor disagree,Instructor 3,213.1,217.0,213.8,212.3,0.8,5,213.5,217.0,212.5,214.4,0.9
84,Agree,Instructor 1,40.6,39.0,41.4,39.8,0.8,5,40.9,39.0,39.9,41.8,0.9
85,Agree,Instructor 2,77.1,76.0,77.9,76.3,0.8,5,76.6,76.0,75.7,77.5,0.9
86,Agree,Instructor 3,145.5,146.0,146.3,144.7,0.8,5,146.2,146.0,145.2,147.1,0.9
87,Strongly agree,Instructor 1,35.8,37.0,36.6,35.0,0.8,5,35.3,37.0,34.3,36.2,0.9
88,Strongly agree,Instructor 2,54.9,54.0,55.7,54.1,0.8,5,54.0,54.0,53.1,55.0,0.9
89,Strongly agree,Instructor 3,77.2,80.0,78.0,76.4,0.8,5,76.9,80.0,75.9,77.8,0.9
90,Strongly disagree,Instructor 1,23.1,23.0,23.7,22.4,0.7,6,22.8,23.0,22.0,23.6,0.8
91,Strongly disagree,Instructor 2,33.3,32.0,33.9,32.6,0.7,6,32.8,32.0,32.1,33.6,0.8
92,Strongly disagree,Instructor 3,82.7,83.0,83.4,82.0,0.7,6,82.3,83.0,81.5,83.1,0.8
93,Disagree,Instructor 1,18.3,19.0,18.9,17.6,0.7,6,17.8,19.0,17.0,18.6,0.8
94,Disagree,Instructor 2,20.3,20.0,21.0,19.6,0.7,6,21.1,20.0,20.3,21.9,0.8
95,Disagree,Instructor 3,76.5,75.0,77.2,75.9,0.7,6,77.1,75.0,76.3,77.8,0.8
96,Neither agree nor disagree,Instructor 1,30.6,31.0,31.3,29.9,0.7,6,29.8,31.0,29.0,30.6,0.8
97,Neither agree nor disagree,Instructor 2,67.3,68.0,68.0,66.7,0.7,6,67.9,68.0,67.1,68.7,0.8
98,Neither agree nor disagree,Instructor 3,214.3,217.0,215.0,213.6,0.7,6,213.1,217.0,212.3,213.8,0.8
99,Agree,Instructor 1,41.7,39.0,42.4,41.1,0.7,6,40.6,39.0,39.8,41.4,0.8
100,Agree,Instructor 2,76.8,76.0,77.5,76.1,0.7,6,77.1,76.0,76.3,77.9,0.8
101,Agree,Instructor 3,145.2,146.0,145.8,144.5,0.7,6,145.5,146.0,144.7,146.3,0.8
102,Strongly agree,Instructor 1,36.5,37.0,37.2,35.8,0.7,6,35.8,37.0,35.0,36.6,0.8
103,Strongly agree,Instructor 2,56.0,54.0,56.7,55.4,0.7,6,54.9,54.0,54.1,55.7,0.8
104,Strongly agree,Instructor 3,77.8,80.0,78.5,77.2,0.7,6,77.2,80.0,76.4,78.0,0.8
