,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
24,Agree,Instructor 1,53.3,53.0,55.6,50.9,2.4,1,51.0,53.0,46.3,55.7,4.7
25,Agree,Instructor 2,102.7,102.0,105.1,100.3,2.4,1,104.8,102.0,100.1,109.5,4.7
26,Agree,Instructor 3,64.0,62.0,66.4,61.7,2.4,1,66.0,62.0,61.3,70.7,4.7
27,Strongly agree,Instructor 1,183.3,183.0,185.6,180.9,2.4,1,185.7,183.0,181.0,190.4,4.7
28,Strongly agree,Instructor 2,148.9,154.0,151.2,146.5,2.4,1,145.3,154.0,140.6,150.0,4.7
29,Strongly agree,Instructor 3,96.1,98.0,98.4,93.7,2.4,1,93.1,98.0,88.4,97.9,4.7
30,Strongly disagree,Instructor 1,28.3,26.0,29.8,26.7,1.6,2,27.6,26.0,25.3,30.0,2.4
31,Strongly disagree,Instructor 2,10.5,10.0,12.0,8.9,1.6,2,12.6,10.0,10.3,15.0,2.4
32,Strongly disagree,Instructor 3,34.7,32.0,36.3,33.2,1.6,2,35.1,32.0,32.7,37.4,2.4
33,Disagree,Instructor 1,57.1,55.0,58.7,55.6,1.6,2,58.6,55.0,56.2,60.9,2.4
34,Disagree,Instructor 2,32.9,35.0,34.5,31.3,1.6,2,30.5,35.0,28.1,32.8,2.4
35,Disagree,Instructor 3,23.1,22.0,24.7,21.6,1.6,2,22.3,22.0,19.9,24.6,2.4
36,Neither agree nor disagree,Instructor 1,17.7,17.0,19.2,16.1,1.6,2,17.7,17.0,15.3,20.0,2.4
37,Neither agree nor disagree,Instructor 2,65.2,65.0,66.7,63.6,1.6,2,64.6,65.0,62.2,67.0,2.4
38,Neither agree nor disagree,Instructor 3,83.1,86.0,84.7,81.5,1.6,2,81.1,86.0,78.7,83.4,2.4
39,Agree,Instructor 1,53.0,53.0,54.6,51.4,1.6,2,53.3,53.0,50.9,55.6,2.4
40,Agree,Instructor 2,102.5,102.0,104.0,100.9,1.6,2,102.7,102.0,100.3,105.1,2.4
41,Agree,Instructor 3,60.5,62.0,62.0,58.9,1.6,2,64.0,62.0,61.7,66.4,2.4
42,Strongly agree,Instructor 1,183.8,183.0,185.3,182.2,1.6,2,183.3,183.0,180.9,185.6,2.4
43,Strongly agree,Instructor 2,150.9,154.0,152.4,149.3,1.6,2,148.9,154.0,146.5,151.2,2.4
44,Strongly agree,Instructor 3,97.6,98.0,99.2,96.0,1.6,2,96.1,98.0,93.7,98.4,2.4
45,Strongly disagree,Instructor 1,29.0,26.0,30.1,27.8,1.2,3,28.3,26.0,26.7,29.8,1.6
46,Strongly disagree,Instructor 2,11.5,10.0,12.7,10.3,1.2,3,10.5,10.0,8.9,12.0,1.6
47,Strongly disagree,Instructor 3,33.7,32.0,34.9,32.6,1.2,3,34.7,32.0,33.2,36.3,1.6
48,Disagree,Instructor 1,57.0,55.0,58.2,55.9,1.2,3,57.1,55.0,55.6,58.7,1.6
49,Disagree,Instructor 2,33.5,35.0,34.6,32.3,1.2,3,32.9,35.0,31.3,34.5,1.6
50,Disagree,Instructor 3,22.3,22.0,23.5,21.1,1.2,3,23.1,22.0,21.6,24.7,1.6
51,Neither agree nor disagree,Instructor 1,17.7,17.0,18.9,16.5,1.2,3,17.7,17.0,16.1,19.2,1.6
52,Neither agree nor disagree,Instructor 2,63.2,65.0,64.4,62.0,1.2,3,65.2,65.0,63.6,66.7,1.6
53,Neither agree nor disagree,Instructor 3,84.2,86.0,85.4,83.1,1.2,3,83.1,86.0,81.5,84.7,1.6
54,Agree,Instructor 1,52.6,53.0,53.8,51.4,1.2,3,53.0,53.0,51.4,54.6,1.6
55,Agree,Instructor 2,102.0,102.0,103.2,100.8,1.2,3,102.5,102.0,100.9,104.0,1.6
56,Agree,Instructor 3,59.9,62.0,61.1,58.8,1.2,3,60.5,62.0,58.9,62.0,1.6
57,Strongly agree,Instructor 1,185.1,183.0,186.2,183.9,1.2,3,183.8,183.0,182.2,185.3,1.6
58,Strongly agree,Instructor 2,151.2,154.0,152.4,150.0,1.2,3,150.9,154.0,149.3,152.4,1.6
59,Strongly agree,Instructor 3,96.4,98.0,97.6,95.2,1.2,3,97.6,98.0,96.0,99.2,1.6
60,Strongly disagree,Instructor 1,29.6,26.0,30.6,28.7,0.9,4,29.0,26.0,27.8,30.1,1.2
61,Strongly disagree,Instructor 2,11.3,10.0,12.3,10.4,0.9,4,11.5,10.0,10.3,12.7,1.2
62,Strongly disagree,Instructor 3,33.9,32.0,34.9,33.0,0.9,4,33.7,32.0,32.6,34.9,1.2
63,Disagree,Instructor 1,56.5,55.0,57.5,55.6,0.9,4,57.0,55.0,55.9,58.2,1.2
64,Disagree,Instructor 2,34.5,35.0,35.4,33.5,0.9,4,33.5,35.0,32.3,34.6,1.2
65,Disagree,Instructor 3,22.0,22.0,23.0,21.1,0.9,4,22.3,22.0,21.1,23.5,1.2
66,Neither agree nor disagree,Instructor 1,17.5,17.0,18.4,16.5,0.9,4,17.7,17.0,16.5,18.9,1.2
67,Neither agree nor disagree,Instructor 2,63.4,65.0,64.3,62.4,0.9,4,63.2,65.0,62.0,64.4,1.2
68,Neither agree nor disagree,Instructor 3,85.4,86.0,86.3,84.4,0.9,4,84.2,86.0,83.1,85.4,1.2
69,Agree,Instructor 1,52.5,53.0,53.4,51.5,0.9,4,52.6,53.0,51.4,53.8,1.2
70,Agree,Instructor 2,101.9,102.0,102.8,100.9,0.9,4,102.0,102.0,100.8,103.2,1.2
71,Agree,Instructor 3,60.2,62.0,61.2,59.3,0.9,4,59.9,62.0,58.8,61.1,1.2
72,Strongly agree,Instructor 1,184.9,183.0,185.8,184.0,0.9,4,185.1,183.0,183.9,186.2,1.2
73,Strongly agree,Instructor 2,151.1,154.0,152.0,150.2,0.9,4,151.2,154.0,150.0,152.4,1.2
74,Strongly agree,Instructor 3,97.1,98.0,98.1,96.2,0.9,4,96.4,98.0,95.2,97.6,1.2
75,Strongly disagree,Instructor 1,31.8,26.0,32.6,31.0,0.8,5,29.6,26.0,28.7,30.6,0.9
76,Strongly disagree,Instructor 2,8.9,10.0,9.7,8.1,0.8,5,11.3,10.0,10.4,12.3,0.9
77,Strongly disagree,Instructor 3,33.2,32.0,34.0,32.4,0.8,5,33.9,32.0,33.0,34.9,0.9
78,Disagree,Instructor 1,56.2,55.0,57.0,55.4,0.8,5,56.5,55.0,55.6,57.5,0.9
79,Disagree,Instructor 2,35.0,35.0,35.8,34.2,0.8,5,34.5,35.0,33.5,35.4,0.9
80,Disagree,Instructor 3,23.0,22.0,23.8,22.2,0.8,5,22.0,22.0,21.1,23.0,0.9
81,Neither agree nor disagree,Instructor 1,17.5,17.0,18.3,16.7,0.8,5,17.5,17.0,16.5,18.4,0.9
82,Neither agree nor disagree,Instructor 2,63.6,65.0,64.4,62.8,0.8,5,63.4,65.0,62.4,64.3,0.9
83,Neither agree nor disagree,Instructor 3,85.4,86.0,86.2,84.6,0.8,5,85.4,86.0,84.4,86.3,0.9
84,Agree,Instructor 1,52.8,53.0,53.6,52.0,0.8,5,52.5,53.0,51.5,53.4,0.9
85,Agree,Instructor 2,102.3,102.0,103.0,101.5,0.8,5,101.9,102.0,100.9,102.8,0.9
86,Agree,Instructor 3,60.4,62.0,61.2,59.6,0.8,5,60.2,62.0,59.3,61.2,0.9
87,Strongly agree,Instructor 1,185.8,183.0,186.6,185.0,0.8,5,184.9,183.0,184.0,185.8,0.9
88,Strongly agree,Instructor 2,152.1,154.0,152.9,151.3,0.8,5,151.1,154.0,150.2,152.0,0.9
89,Strongly agree,Instructor 3,96.9,98.0,97.7,96.1,0.8,5,97.1,98.0,96.2,98.1,0.9
90,Strongly disagree,Instructor 1,31.6,26.0,32.3,30.9,0.7,6,31.8,26.0,31.0,32.6,0.8
91,Strongly disagree,Instructor 2,8.7,10.0,9.4,8.0,0.7,6,8.9,10.0,8.1,9.7,0.8
92,Strongly disagree,Instructor 3,32.3,32.0,33.0,31.6,0.7,6,33.2,32.0,32.4,34.0,0.8
93,Disagree,Instructor 1,56.4,55.0,57.0,55.7,0.7,6,56.2,55.0,55.4,57.0,0.8
94,Disagree,Instructor 2,35.0,35.0,35.6,34.3,0.7,6,35.0,35.0,34.2,35.8,0.8
95,Disagree,Instructor 3,22.9,22.0,23.5,22.2,0.7,6,23.0,22.0,22.2,23.8,0.8
96,Neither agree nor disagree,Instructor 1,17.1,17.0,17.8,16.5,0.7,6,17.5,17.0,16.7,18.3,0.8
97,Neither agree nor disagree,Instructor 2,63.7,65.0,64.3,63.0,0.7,6,63.6,65.0,62.8,64.4,0.8
98,Neither agree nor disagree,Instructor 3,85.7,86.0,86.4,85.0,0.7,6,85.4,86.0,84.6,86.2,0.8
99,Agree,Instructor 1,53.2,53.0,53.8,52.5,0.7,6,52.8,53.0,52.0,53.6,0.8
100,Agree,Instructor 2,102.4,102.0,103.1,101.8,0.7,6,102.3,102.0,101.5,103.0,0.8
101,Agree,Instructor 3,60.6,62.0,61.3,59.9,0.7,6,60.4,62.0,59.6,61.2,0.8
102,Strongly agree,Instructor 1,184.8,183.0,185.4,184.1,0.7,6,185.8,183.0,185.0,186.6,0.8
103,Strongly agree,Instructor 2,152.4,154.0,153.0,151.7,0.7,6,152.1,154.0,151.3,152.9,0.8
104,Strongly agree,Instructor 3,97.0,98.0,97.6,96.3,0.7,6,96.9,98.0,96.1,97.7,0.8
