,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
92,Strongly disagree,Instructor 3,37.4,36.0,38.1,36.8,0.7,6,38.1,36.0,37.3,38.8,0.8
93,Disagree,Instructor 1,35.1,37.0,35.7,34.4,0.7,6,34.7,37.0,33.9,35.5,0.8
94,Disagree,Instructor 2,32.4,31.0,33.1,31.7,0.7,6,32.6,31.0,31.8,33.4,0.8
95,Disagree,Instructor 3,19.3,18.0,20.0,18.6,0.7,6,19.4,18.0,18.6,20.2,0.8
96,Neither agree nor disagree,Instructor 1,18.8,19.0,19.5,18.1,0.7,6,19.8,19.0,19.0,20.6,0.8
97,Neither agree nor disagree,Instructor 2,56.5,53.0,57.1,55.8,0.7,6,57.0,53.0,56.2,57.8,0.8
98,Neither agree nor disagree,Instructor 3,91.4,89.0,92.1,90.7,0.7,6,91.9,89.0,91.1,92.7,0.8
99,Agree,Instructor 1,42.8,44.0,43.5,42.1,0.7,6,43.1,44.0,42.3,43.9,0.8
100,Agree,Instructor 2,102.9,105.0,103.6,102.3,0.7,6,103.2,105.0,102.4,103.9,0.8
101,Agree,Instructor 3,87.9,91.0,88.5,87.2,0.7,6,87.3,91.0,86.6,88.1,0.8
102,Strongly agree,Instructor 1,184.6,187.0,185.3,184.0,0.7,6,185.4,187.0,184.6,186.2,0.8
103,Strongly agree,Instructor 2,172.3,173.0,172.9,171.6,0.7,6,173.5,173.0,172.7,174.3,0.8
104,Strongly agree,Instructor 3,86.7,86.0,87.3,86.0,0.7,6,86.6,86.0,85.8,87.3,0.8
