,Q13,difficulty,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
58,Disagree,4,20.8,25.0,22.4,19.3,1.6,2,23.7,25.0,21.3,26.0,2.4
59,Disagree,5,18.6,18.0,20.2,17.0,1.6,2,18.2,18.0,15.9,20.6,2.4
60,Neither agree nor disagree,1,74.6,76.0,76.2,73.0,1.6,2,73.9,76.0,71.6,76.3,2.4
61,Neither agree nor disagree,2,25.5,23.0,27.0,23.9,1.6,2,27.0,23.0,24.7,29.4,2.4
62,Neither agree nor disagree,3,69.6,71.0,71.2,68.0,1.6,2,69.5,71.0,67.1,71.8,2.4
63,Neither agree nor disagree,4,69.1,70.0,70.6,67.5,1.6,2,68.4,70.0,66.0,70.8,2.4
64,Neither agree nor disagree,5,40.3,36.0,41.8,38.7,1.6,2,37.5,36.0,35.2,39.9,2.4
65,Agree,1,45.6,45.0,47.1,44.0,1.6,2,46.6,45.0,44.3,49.0,2.4
66,Agree,2,18.0,26.0,19.5,16.4,1.6,2,18.1,26.0,15.7,20.4,2.4
67,Agree,3,128.9,129.0,130.5,127.4,1.6,2,127.8,129.0,125.5,130.2,2.4
68,Agree,4,67.9,72.0,69.5,66.4,1.6,2,65.3,72.0,62.9,67.6,2.4
69,Agree,5,30.8,27.0,32.3,29.2,1.6,2,34.1,27.0,31.7,36.4,2.4
70,Strongly agree,1,37.9,38.0,39.4,36.3,1.6,2,37.2,38.0,34.9,39.6,2.4
71,Strongly agree,2,14.9,14.0,16.5,13.4,1.6,2,14.7,14.0,12.4,17.1,2.4
72,Strongly agree,3,56.8,58.0,58.3,55.2,1.6,2,57.9,58.0,55.6,60.3,2.4
73,Strongly agree,4,29.7,31.0,31.3,28.1,1.6,2,26.6,31.0,24.3,29.0,2.4
74,Strongly agree,5,19.4,20.0,21.0,17.8,1.6,2,17.7,20.0,15.4,20.1,2.4
75,Strongly disagree,1,60.2,60.0,61.4,59.1,1.2,3,60.1,60.0,58.5,61.7,1.6
76,Strongly disagree,2,10.2,13.0,11.3,9.0,1.2,3,9.6,13.0,8.0,11.2,1.6
77,Strongly disagree,3,15.5,16.0,16.7,14.3,1.2,3,16.1,16.0,14.5,17.6,1.6
78,Strongly disagree,4,20.3,18.0,21.5,19.1,1.2,3,19.1,18.0,17.6,20.7,1.6
79,Strongly disagree,5,35.7,34.0,36.9,34.5,1.2,3,36.4,34.0,34.9,38.0,1.6
80,Disagree,1,36.5,35.0,37.6,35.3,1.2,3,36.7,35.0,35.1,38.3,1.6
81,Disagree,2,17.3,17.0,18.5,16.1,1.2,3,16.2,17.0,14.6,17.8,1.6
82,Disagree,3,28.1,28.0,29.3,26.9,1.2,3,27.8,28.0,26.2,29.4,1.6
83,Disagree,4,21.0,25.0,22.2,19.8,1.2,3,20.8,25.0,19.3,22.4,1.6
84,Disagree,5,18.6,18.0,19.8,17.4,1.2,3,18.6,18.0,17.0,20.2,1.6
85,Neither agree nor disagree,1,75.0,76.0,76.2,73.9,1.2,3,74.6,76.0,73.0,76.2,1.6
86,Neither agree nor disagree,2,25.3,23.0,26.5,24.1,1.2,3,25.5,23.0,23.9,27.0,1.6
87,Neither agree nor disagree,3,69.4,71.0,70.5,68.2,1.2,3,69.6,71.0,68.0,71.2,1.6
88,Neither agree nor disagree,4,68.5,70.0,69.6,67.3,1.2,3,69.1,70.0,67.5,70.6,1.6
89,Neither agree nor disagree,5,37.9,36.0,39.1,36.8,1.2,3,40.3,36.0,38.7,41.8,1.6
90,Agree,1,42.2,45.0,43.4,41.0,1.2,3,45.6,45.0,44.0,47.1,1.6
91,Agree,2,20.2,26.0,21.4,19.0,1.2,3,18.0,26.0,16.4,19.5,1.6
92,Agree,3,128.5,129.0,129.7,127.3,1.2,3,128.9,129.0,127.4,130.5,1.6
93,Agree,4,68.1,72.0,69.3,66.9,1.2,3,67.9,72.0,66.4,69.5,1.6
94,Agree,5,28.4,27.0,29.6,27.3,1.2,3,30.8,27.0,29.2,32.3,1.6
95,Strongly agree,1,37.2,38.0,38.4,36.0,1.2,3,37.9,38.0,36.3,39.4,1.6
96,Strongly agree,2,14.2,14.0,15.4,13.0,1.2,3,14.9,14.0,13.4,16.5,1.6
97,Strongly agree,3,57.0,58.0,58.2,55.8,1.2,3,56.8,58.0,55.2,58.3,1.6
98,Strongly agree,4,30.1,31.0,31.3,28.9,1.2,3,29.7,31.0,28.1,31.3,1.6
99,Strongly agree,5,20.5,20.0,21.7,19.3,1.2,3,19.4,20.0,17.8,21.0,1.6
100,Strongly disagree,1,60.6,60.0,61.6,59.7,0.9,4,60.2,60.0,59.1,61.4,1.2
101,Strongly disagree,2,11.0,13.0,11.9,10.0,0.9,4,10.2,13.0,9.0,11.3,1.2
102,Strongly disagree,3,16.2,16.0,17.2,15.3,0.9,4,15.5,16.0,14.3,16.7,1.2
103,Strongly disagree,4,18.0,18.0,18.9,17.1,0.9,4,20.3,18.0,19.1,21.5,1.2
104,Strongly disagree,5,34.8,34.0,35.8,33.9,0.9,4,35.7,34.0,34.5,36.9,1.2
105,Disagree,1,35.0,35.0,36.0,34.1,0.9,4,36.5,35.0,35.3,37.6,1.2
106,Disagree,2,15.4,17.0,16.3,14.4,0.9,4,17.3,17.0,16.1,18.5,1.2
107,Disagree,3,27.8,28.0,28.8,26.9,0.9,4,28.1,28.0,26.9,29.3,1.2
108,Disagree,4,21.9,25.0,22.9,21.0,0.9,4,21.0,25.0,19.8,22.2,1.2
109,Disagree,5,17.0,18.0,17.9,16.0,0.9,4,18.6,18.0,17.4,19.8,1.2
110,Neither agree nor disagree,1,73.6,76.0,74.6,72.7,0.9,4,75.0,76.0,73.9,76.2,1.2
111,Neither agree nor disagree,2,24.7,23.0,25.6,23.7,0.9,4,25.3,23.0,24.1,26.5,1.2
112,Neither agree nor disagree,3,70.0,71.0,70.9,69.0,0.9,4,69.4,71.0,68.2,70.5,1.2
113,Neither agree nor disagree,4,68.2,70.0,69.1,67.2,0.9,4,68.5,70.0,67.3,69.6,1.2
114,Neither agree nor disagree,5,38.5,36.0,39.4,37.5,0.9,4,37.9,36.0,36.8,39.1,1.2
115,Agree,1,42.9,45.0,43.9,42.0,0.9,4,42.2,45.0,41.0,43.4,1.2
116,Agree,2,21.0,26.0,22.0,20.1,0.9,4,20.2,26.0,19.0,21.4,1.2
117,Agree,3,128.8,129.0,129.7,127.8,0.9,4,128.5,129.0,127.3,129.7,1.2
118,Agree,4,70.5,72.0,71.4,69.5,0.9,4,68.1,72.0,66.9,69.3,1.2
119,Agree,5,28.1,27.0,29.0,27.1,0.9,4,28.4,27.0,27.3,29.6,1.2
120,Strongly agree,1,37.3,38.0,38.2,36.3,0.9,4,37.2,38.0,36.0,38.4,1.2
121,Strongly agree,2,14.1,14.0,15.0,13.2,0.9,4,14.2,14.0,13.0,15.4,1.2
122,Strongly agree,3,57.2,58.0,58.2,56.3,0.9,4,57.0,58.0,55.8,58.2,1.2
123,Strongly agree,4,30.3,31.0,31.3,29.4,0.9,4,30.1,31.0,28.9,31.3,1.2
124,Strongly agree,5,18.8,20.0,19.7,17.8,0.9,4,20.5,20.0,19.3,21.7,1.2
125,Strongly disagree,1,60.3,60.0,61.1,59.5,0.8,5,60.6,60.0,59.7,61.6,0.9
126,Strongly disagree,2,11.3,13.0,12.1,10.5,0.8,5,11.0,13.0,10.0,11.9,0.9
127,Strongly disagree,3,16.6,16.0,17.4,15.8,0.8,5,16.2,16.0,15.3,17.2,0.9
128,Strongly disagree,4,18.7,18.0,19.5,17.9,0.8,5,18.0,18.0,17.1,18.9,0.9
129,Strongly disagree,5,34.6,34.0,35.4,33.8,0.8,5,34.8,34.0,33.9,35.8,0.9
130,Disagree,1,34.9,35.0,35.7,34.2,0.8,5,35.0,35.0,34.1,36.0,0.9
131,Disagree,2,15.9,17.0,16.7,15.2,0.8,5,15.4,17.0,14.4,16.3,0.9
132,Disagree,3,25.6,28.0,26.4,24.8,0.8,5,27.8,28.0,26.9,28.8,0.9
133,Disagree,4,20.8,25.0,21.6,20.0,0.8,5,21.9,25.0,21.0,22.9,0.9
134,Disagree,5,18.3,18.0,19.1,17.6,0.8,5,17.0,18.0,16.0,17.9,0.9
135,Neither agree nor disagree,1,74.2,76.0,75.0,73.4,0.8,5,73.6,76.0,72.7,74.6,0.9
136,Neither agree nor disagree,2,24.1,23.0,24.9,23.3,0.8,5,24.7,23.0,23.7,25.6,0.9
137,Neither agree nor disagree,3,69.6,71.0,70.4,68.8,0.8,5,70.0,71.0,69.0,70.9,0.9
138,Neither agree nor disagree,4,68.3,70.0,69.1,67.5,0.8,5,68.2,70.0,67.2,69.1,0.9
139,Neither agree nor disagree,5,39.1,36.0,39.9,38.3,0.8,5,38.5,36.0,37.5,39.4,0.9
140,Agree,1,44.3,45.0,45.1,43.5,0.8,5,42.9,45.0,42.0,43.9,0.9
141,Agree,2,22.1,26.0,22.9,21.4,0.8,5,21.0,26.0,20.1,22.0,0.9
142,Agree,3,128.8,129.0,129.6,128.0,0.8,5,128.8,129.0,127.8,129.7,0.9
143,Agree,4,70.7,72.0,71.5,70.0,0.8,5,70.5,72.0,69.5,71.4,0.9
144,Agree,5,27.4,27.0,28.2,26.7,0.8,5,28.1,27.0,27.1,29.0,0.9
145,Strongly agree,1,37.3,38.0,38.1,36.5,0.8,5,37.3,38.0,36.3,38.2,0.9
146,Strongly agree,2,14.2,14.0,14.9,13.4,0.8,5,14.1,14.0,13.2,15.0,0.9
147,Strongly agree,3,58.1,58.0,58.9,57.3,0.8,5,57.2,58.0,56.3,58.2,0.9
148,Strongly agree,4,30.7,31.0,31.5,29.9,0.8,5,30.3,31.0,29.4,31.3,0.9
149,Strongly agree,5,19.6,20.0,20.4,18.8,0.8,5,18.8,20.0,17.8,19.7,0.9
150,Strongly disagree,1,60.7,60.0,61.4,60.0,0.7,6,60.3,60.0,59.5,61.1,0.8
151,Strongly disagree,2,11.4,13.0,12.0,10.7,0.7,6,11.3,13.0,10.5,12.1,0.8
152,Strongly disagree,3,16.6,16.0,17.2,15.9,0.7,6,16.6,16.0,15.8,17.4,0.8
153,Strongly disagree,4,19.0,18.0,19.7,18.4,0.7,6,18.7,18.0,17.9,19.5,0.8
154,Strongly disagree,5,35.0,34.0,35.7,34.4,0.7,6,34.6,34.0,33.8,35.4,0.8
155,Disagree,1,35.2,35.0,35.9,34.6,0.7,6,34.9,35.0,34.2,35.7,0.8
156,Disagree,2,16.5,17.0,17.2,15.9,0.7,6,15.9,17.0,15.2,16.7,0.8
157,Disagree,3,24.8,28.0,25.4,24.1,0.7,6,25.6,28.0,24.8,26.4,0.8
158,Disagree,4,20.7,25.0,21.3,20.0,0.7,6,20.8,25.0,20.0,21.6,0.8
159,Disagree,5,18.2,18.0,18.9,17.5,0.7,6,18.3,18.0,17.6,19.1,0.8
160,Neither agree nor disagree,1,75.2,76.0,75.8,74.5,0.7,6,74.2,76.0,73.4,75.0,0.8
161,Neither agree nor disagree,2,24.2,23.0,24.9,23.5,0.7,6,24.1,23.0,23.3,24.9,0.8
162,Neither agree nor disagree,3,70.1,71.0,70.8,69.4,0.7,6,69.6,71.0,68.8,70.4,0.8
163,Neither agree nor disagree,4,68.9,70.0,69.6,68.3,0.7,6,68.3,70.0,67.5,69.1,0.8
164,Neither agree nor disagree,5,38.5,36.0,39.2,37.8,0.7,6,39.1,36.0,38.3,39.9,0.8
165,Agree,1,44.5,45.0,45.2,43.8,0.7,6,44.3,45.0,43.5,45.1,0.8
166,Agree,2,22.6,26.0,23.3,21.9,0.7,6,22.1,26.0,21.4,22.9,0.8
167,Agree,3,129.8,129.0,130.5,129.2,0.7,6,128.8,129.0,128.0,129.6,0.8
168,Agree,4,71.1,72.0,71.8,70.4,0.7,6,70.7,72.0,70.0,71.5,0.8
169,Agree,5,27.3,27.0,27.9,26.6,0.7,6,27.4,27.0,26.7,28.2,0.8
170,Strongly agree,1,37.3,38.0,37.9,36.6,0.7,6,37.3,38.0,36.5,38.1,0.8
171,Strongly agree,2,13.6,14.0,14.3,13.0,0.7,6,14.2,14.0,13.4,14.9,0.8
172,Strongly agree,3,58.5,58.0,59.2,57.8,0.7,6,58.1,58.0,57.3,58.9,0.8
173,Strongly agree,4,30.7,31.0,31.4,30.0,0.7,6,30.7,31.0,29.9,31.5,0.8
174,Strongly agree,5,19.4,20.0,20.0,18.7,0.7,6,19.6,20.0,18.8,20.4,0.8
