,Q13,instr,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
58,Strongly agree,Instructor 2,176.2,173.0,177.4,175.0,1.2,3,176.0,173.0,174.4,177.6,1.6
59,Strongly agree,Instructor 3,87.8,86.0,89.0,86.7,1.2,3,88.2,86.0,86.6,89.8,1.6
60,Strongly disagree,Instructor 1,18.7,18.0,19.6,17.7,0.9,4,17.8,18.0,16.6,18.9,1.2
61,Strongly disagree,Instructor 2,12.8,13.0,13.7,11.8,0.9,4,12.6,13.0,11.4,13.8,1.2
62,Strongly disagree,Instructor 3,37.6,36.0,38.5,36.6,0.9,4,37.9,36.0,36.7,39.1,1.2
63,Disagree,Instructor 1,36.3,37.0,37.2,35.3,0.9,4,36.3,37.0,35.2,37.5,1.2
64,Disagree,Instructor 2,29.1,31.0,30.0,28.1,0.9,4,27.7,31.0,26.5,28.9,1.2
65,Disagree,Instructor 3,16.5,18.0,17.4,15.5,0.9,4,17.3,18.0,16.1,18.4,1.2
66,Neither agree nor disagree,Instructor 1,22.6,19.0,23.5,21.7,0.9,4,23.4,19.0,22.2,24.6,1.2
67,Neither agree nor disagree,Instructor 2,50.8,53.0,51.7,49.8,0.9,4,50.7,53.0,49.5,51.9,1.2
68,Neither agree nor disagree,Instructor 3,88.1,89.0,89.0,87.1,0.9,4,87.2,89.0,86.0,88.3,1.2
69,Agree,Instructor 1,45.8,44.0,46.8,44.9,0.9,4,47.1,44.0,45.9,48.3,1.2
70,Agree,Instructor 2,107.6,105.0,108.5,106.6,0.9,4,108.0,105.0,106.8,109.2,1.2
71,Agree,Instructor 3,91.0,91.0,92.0,90.1,0.9,4,93.1,91.0,91.9,94.3,1.2
72,Strongly agree,Instructor 1,187.9,187.0,188.8,186.9,0.9,4,188.0,187.0,186.8,189.2,1.2
73,Strongly agree,Instructor 2,175.9,173.0,176.8,174.9,0.9,4,176.2,173.0,175.0,177.4,1.2
74,Strongly agree,Instructor 3,88.9,86.0,89.8,87.9,0.9,4,87.8,86.0,86.7,89.0,1.2
75,Strongly disagree,Instructor 1,18.6,18.0,19.4,17.9,0.8,5,18.7,18.0,17.7,19.6,0.9
76,Strongly disagree,Instructor 2,12.0,13.0,12.8,11.2,0.8,5,12.8,13.0,11.8,13.7,0.9
77,Strongly disagree,Instructor 3,36.2,36.0,37.0,35.4,0.8,5,37.6,36.0,36.6,38.5,0.9
78,Disagree,Instructor 1,36.5,37.0,37.3,35.7,0.8,5,36.3,37.0,35.3,37.2,0.9
79,Disagree,Instructor 2,29.4,31.0,30.2,28.6,0.8,5,29.1,31.0,28.1,30.0,0.9
80,Disagree,Instructor 3,15.3,18.0,16.1,14.5,0.8,5,16.5,18.0,15.5,17.4,0.9
81,Neither agree nor disagree,Instructor 1,22.2,19.0,23.0,21.4,0.8,5,22.6,19.0,21.7,23.5,0.9
82,Neither agree nor disagree,Instructor 2,50.4,53.0,51.1,49.6,0.8,5,50.8,53.0,49.8,51.7,0.9
83,Neither agree nor disagree,Instructor 3,86.1,89.0,86.9,85.3,0.8,5,88.1,89.0,87.1,89.0,0.9
84,Agree,Instructor 1,45.2,44.0,46.0,44.4,0.8,5,45.8,44.0,44.9,46.8,0.9
85,Agree,Instructor 2,106.6,105.0,107.4,105.8,0.8,5,107.6,105.0,106.6,108.5,0.9
86,Agree,Instructor 3,89.9,91.0,90.7,89.1,0.8,5,91.0,91.0,90.1,92.0,0.9
87,Strongly agree,Instructor 1,188.2,187.0,189.0,187.4,0.8,5,187.9,187.0,186.9,188.8,0.9
88,Strongly agree,Instructor 2,175.3,173.0,176.0,174.5,0.8,5,175.9,173.0,174.9,176.8,0.9
89,Strongly agree,Instructor 3,88.0,86.0,88.8,87.2,0.8,5,88.9,86.0,87.9,89.8,0.9
90,Strongly disagree,Instructor 1,18.2,18.0,18.8,17.5,0.7,6,18.6,18.0,17.9,19.4,0.8
91,Strongly disagree,Instructor 2,13.6,13.0,14.3,12.9,0.7,6,12.0,13.0,11.2,12.8,0.8
92,Strongly disagree,Instructor 3,36.2,36.0,36.9,35.6,0.7,6,36.2,36.0,35.4,37.0,0.8
93,Disagree,Instructor 1,38.1,37.0,38.8,37.5,0.7,6,36.5,37.0,35.7,37.3,0.8
94,Disagree,Instructor 2,30.9,31.0,31.6,30.3,0.7,6,29.4,31.0,28.6,30.2,0.8
95,Disagree,Instructor 3,14.2,18.0,14.8,13.5,0.7,6,15.3,18.0,14.5,16.1,0.8
96,Neither agree nor disagree,Instructor 1,21.8,19.0,22.5,21.2,0.7,6,22.2,19.0,21.4,23.0,0.8
97,Neither agree nor disagree,Instructor 2,50.4,53.0,51.1,49.7,0.7,6,50.4,53.0,49.6,51.1,0.8
98,Neither agree nor disagree,Instructor 3,85.9,89.0,86.6,85.2,0.7,6,86.1,89.0,85.3,86.9,0.8
99,Agree,Instructor 1,44.9,44.0,45.5,44.2,0.7,6,45.2,44.0,44.4,46.0,0.8
100,Agree,Instructor 2,106.7,105.0,107.4,106.0,0.7,6,106.6,105.0,105.8,107.4,0.8
101,Agree,Instructor 3,91.0,91.0,91.7,90.3,0.7,6,89.9,91.0,89.1,90.7,0.8
102,Strongly agree,Instructor 1,186.6,187.0,187.3,185.9,0.7,6,188.2,187.0,187.4,189.0,0.8
103,Strongly agree,Instructor 2,174.6,173.0,175.3,173.9,0.7,6,175.3,173.0,174.5,176.0,0.8
104,Strongly agree,Instructor 3,87.4,86.0,88.1,86.7,0.7,6,88.0,86.0,87.2,88.8,0.8
